datetime,open,high,low,close,volume
2025-10-09 00:45:00,4047,4047.52,4040.79,4044.83,
2025-10-09 01:00:00,4044.83,4045.53,4029.9,4039.97,
2025-10-09 01:15:00,4039.97,4051.16,4039.97,4049.95,
2025-10-09 01:30:00,4049.95,4055.96,4048.85,4052.9,
2025-10-09 01:45:00,4052.9,4052.9,4041,4042.78,
2025-10-09 02:00:00,4042.34,4042.35,4034.2,4036.58,
2025-10-09 02:15:00,4036.59,4039.61,4028,4032.12,
2025-10-09 02:30:00,4032.6,4035.6,4026.79,4034.08,
2025-10-09 02:45:00,4034.08,4038.75,4033.63,4036.96,
2025-10-09 03:00:00,4037.41,4042.73,4035.44,4039.21,
2025-10-09 03:15:00,4039.2,4045.95,4039.2,4045.03,
2025-10-09 03:30:00,4045.02,4051.07,4043.2,4048.65,
2025-10-09 03:45:00,4048.64,4049.34,4044.58,4045.72,
2025-10-09 04:00:00,4045.71,4052.36,4045.27,4052.04,
2025-10-09 04:15:00,4052.05,4057.44,4051.25,4057.35,
2025-10-09 04:30:00,4057.35,4059.84,4056.49,4057.44,
2025-10-09 04:45:00,4057.45,4062.41,4056.08,4061.04,
2025-10-09 05:00:00,4061.04,4061.04,4053.95,4056.78,
2025-10-09 05:15:00,4056.78,4059.05,4050,4056.47,
2025-10-09 05:30:00,4056.47,4061.17,4050,4057.95,
2025-10-09 05:45:00,4057.95,4061.48,4050.85,4059.98,
2025-10-09 06:00:00,4059.98,4061.46,4057,4057.83,
2025-10-09 06:15:00,4057.83,4060,4054.73,4054.81,
2025-10-09 06:30:00,4054.81,4057.99,4050,4052.05,
2025-10-09 06:45:00,4052.04,4052.04,4044.4,4046.19,
2025-10-09 07:00:00,4046.2,4052.18,4046.19,4047.87,
2025-10-09 07:15:00,4047.87,4050.07,4044,4045.34,
2025-10-09 07:30:00,4045.53,4046.59,4044.09,4045.97,
2025-10-09 07:45:00,4045.96,4049.33,4045.6,4047.49,
2025-10-09 08:00:00,4047.48,4051.99,4047.33,4050.97,
2025-10-09 08:15:00,4050.98,4053.73,4049.52,4051.62,
2025-10-09 08:30:00,4051.61,4055.62,4051.26,4054.44,
2025-10-09 08:45:00,4054.43,4057,4054.15,4055.21,
2025-10-09 09:00:00,4055.22,4057.34,4052.4,4054.38,
2025-10-09 09:15:00,4054.37,4054.97,4051.43,4052.59,
2025-10-09 09:30:00,4052.59,4054.4,4049.68,4050.72,
2025-10-09 09:45:00,4050.72,4052.75,4050.7,4052.1,
2025-10-09 10:00:00,4052.1,4054.39,4048.61,4051.24,
2025-10-09 10:15:00,4051.24,4052.37,4049.95,4052.36,
2025-10-09 10:30:00,4052.36,4053.66,4051.7,4052.75,
2025-10-09 10:45:00,4052.75,4061.75,4052.32,4059.3,
2025-10-09 11:00:00,4059.29,4061.71,4055.29,4056.49,
2025-10-09 11:15:00,4056.49,4058.24,4051.01,4053.04,
2025-10-09 11:30:00,4053.04,4059.8,4053.04,4059.75,
2025-10-09 11:45:00,4059.75,4060.97,4058.04,4058.99,
2025-10-09 12:00:00,4058.98,4058.98,4052.79,4054.39,
2025-10-09 12:15:00,4054.39,4056.8,4051.32,4054.56,
2025-10-09 12:30:00,4054.55,4058.35,4050.62,4058.33,
2025-10-09 12:45:00,4058.33,4068.07,4055.7,4066.98,
2025-10-09 13:00:00,4067.43,4071,4064.88,4070.73,
2025-10-09 13:15:00,4070.74,4072,4063.9,4071.5,
2025-10-09 13:30:00,4071.5,4071.51,4049,4049.51,
2025-10-09 13:45:00,4049.21,4051.22,4040,4040,
2025-10-09 14:00:00,4040,4049.31,4040,4041.3,
2025-10-09 14:15:00,4041.39,4049.91,4040,4040,
2025-10-09 14:30:00,4040,4040.62,4033.16,4036.02,
2025-10-09 14:45:00,4036.03,4051.6,4030,4044.32,
2025-10-09 15:00:00,4044.32,4047.81,4042.54,4046.26,
2025-10-09 15:15:00,4046.26,4049.78,4030,4034.26,
2025-10-09 15:30:00,4034.27,4037.3,4024.96,4032.48,
2025-10-09 15:45:00,4032.48,4040.35,4031.99,4036.43,
2025-10-09 16:00:00,4036.43,4041.4,4034.01,4034.4,
2025-10-09 16:15:00,4034.41,4034.81,4027.72,4027.87,
2025-10-09 16:30:00,4027.86,4028.96,3993.38,4003.93,
2025-10-09 16:45:00,4003.92,4003.93,3980,3982.84,
2025-10-09 17:00:00,3982.84,3989.99,3968.39,3968.41,
2025-10-09 17:15:00,3968.31,3981.68,3963,3975.31,
2025-10-09 17:30:00,3975.31,3977.64,3971.75,3974.99,
2025-10-09 17:45:00,3974.99,3976.52,3961.94,3965.96,
2025-10-09 18:00:00,3965.96,3979.68,3965.01,3977.84,
2025-10-09 18:15:00,3977.84,3985.9,3977.83,3980,
2025-10-09 18:30:00,3980,3982.34,3974.5,3974.73,
2025-10-09 18:45:00,3974.74,3979.58,3972.19,3973.05,
2025-10-09 19:00:00,3973.07,3988,3972.58,3987.8,
2025-10-09 19:15:00,3987.14,3996.39,3983.24,3992.84,
2025-10-09 19:30:00,3992.85,3997.84,3991.37,3995.27,
2025-10-09 19:45:00,3995.26,3997.22,3987.13,3989.18,
2025-10-09 20:00:00,3989.19,3994.44,3989.19,3993.66,
2025-10-09 20:15:00,3993.74,3997.25,3987.82,3992.56,
2025-10-09 20:30:00,3992.56,3993.8,3990.01,3991.18,
2025-10-09 20:45:00,3991.17,3993.19,3989.28,3993.19,
2025-10-09 21:00:00,3992.9,3993.17,3990.39,3990.98,
2025-10-09 21:15:00,3990.99,3994.86,3989.2,3992.8,
2025-10-09 21:30:00,3992.8,3996.79,3991.9,3993.47,
2025-10-09 21:45:00,3993.46,3996.61,3992.99,3995.44,
2025-10-09 22:00:00,3995.34,3995.34,3975.33,3981.12,
